country,region,income,income_level,life_exp,co2,co2_change,population
Syria,Asia,3.89,Level 2,73.2,1.67,decrease,16.9
Taiwan,Asia,51.9,Level 4,80.2,11.6,increase,23.7
Tajikistan,Asia,3.42,Level 2,69.2,0.603,increase,9.1
Tanzania,Africa,2.59,Level 1,66.7,0.222,increase,56.3
Thailand,Asia,18.1,Level 3,78.3,4.15,increase,69.4
Timor-Leste,Asia,3.09,Level 2,70.5,0.412,increase,1.27
Togo,Africa,2.06,Level 1,64.5,0.434,increase,7.89
Tonga,Asia,6.41,Level 2,72.9,1.31,increase,0.103
Trinidad and Tobago,Americas,26.3,Level 4,74.8,31.3,decrease,1.39
Tunisia,Africa,11.4,Level 3,77.5,2.73,increase,11.6
Turkey,Europe,28.3,Level 4,78.1,5.2,increase,82.3
Turkmenistan,Asia,14.8,Level 3,70.6,13.7,increase,5.85
Tuvalu,Asia,3.95,Level 2,67.8,1.01,decrease,0.0115
Uganda,Africa,2.13,Level 1,65.7,0.135,increase,42.7
Ukraine,Europe,12.3,Level 3,73.9,5.09,decrease,44.2
United Arab Emirates,Asia,67,Level 4,73.7,21.4,decrease,9.63
United Kingdom,Europe,46.9,Level 4,81,5.65,decrease,67.1
United States,Americas,61.6,Level 4,79,16.6,decrease,327
Uruguay,Americas,23,Level 3,77.5,2.01,decrease,3.45
Uzbekistan,Asia,7.08,Level 2,68.1,2.81,decrease,32.5
Vanuatu,Asia,3.09,Level 2,65.3,0.529,increase,0.293
Venezuela,Americas,12.4,Level 3,75.4,4.81,decrease,28.9
Vietnam,Asia,7.59,Level 2,74.3,2.16,increase,95.5
Yemen,Asia,2.66,Level 2,66.1,0.356,decrease,28.5
Zambia,Africa,3.52,Level 2,62.5,0.302,increase,17.4
Zimbabwe,Africa,3.92,Level 2,60.6,0.85,increase,14.4
